"V_cathode, V","V_anode, mV",omega,omega
0.06,0,0.01,0.1
0.42,0,,
0.8,0,,
1.22,0.1,,
1.62,2.4,,
1.81,12.7,,
1.91,25.9,,
2,45.1,,
2.1,63.6,,
2.15,73.5,,
2.22,82.5,,
2.26,87.7,,
2.3,90.6,,
2.35,95.8,,
2.39,98.2,,
2.44,98.3,,
2.53,99.1,,
2.61,98.1,,
2.71,96.4,,
2.82,94.1,,
2.92,91.8,,
3.02,89.7,,
3.12,87.8,,
3.2,86.4,,
3.3,84.5,,
3.43,83,,
3.52,81.8,,
3.62,80.5,,
4.04,72.1,,
4.4,69.3,,
4.81,65.6,,
5.22,62.8,,
5.64,60.3,,
6.04,58.5,,
6.4,57.5,,
6.82,57,,
7.25,56.5,,
7.62,56.7,,
8.01,57.4,,
8.43,61.2,,
8.84,63.8,,
9.21,66.3,,
9.62,67.6,,
10.08,71.5,,
10.48,78,,
